GeneID,P,TAU,PER,LAG,AMP,BH.Q,ADJ.P
Gene_001,2.1000851489802991e-10,0.9309152457409796,24.0,23,3.4907392042982908,2.619641471036206e-09,2.619641471036206e-09
Gene_004,1.0395729954940565e-10,0.9524384615716924,24.0,5,4.3778324140887195,2.619641471036206e-09,2.619641471036206e-09
Gene_006,2.686264693055917e-10,0.9339245215203617,24.0,8,4.861288884195127,2.619641471036206e-09,2.619641471036206e-09
Gene_005,2.1000851489802991e-10,0.9309152457409796,24.0,23,3.1546192306415923,2.619641471036206e-09,2.619641471036206e-09
Gene_007,1.479975788767971e-10,0.9416309244889763,24.0,2,4.113837512911869,2.619641471036206e-09,2.619641471036206e-09
Gene_008,1.718915156412046e-10,0.9397101912802235,24.0,4,3.686153852825709,2.619641471036206e-09,2.619641471036206e-09
Gene_012,7.886181564317124e-11,0.9527335718130339,24.0,23,3.7942051882282173,2.619641471036206e-09,2.619641471036206e-09
Gene_009,6.420068899525025e-11,0.9616489506097228,24.0,20,4.787982056684303,2.619641471036206e-09,2.619641471036206e-09
Gene_014,2.8250842107610137e-10,0.9270319954271317,24.0,2,2.383748524193638,2.619641471036206e-09,2.619641471036206e-09
Gene_013,1.9955852740508052e-10,0.9377855621628971,24.0,18,4.50038538846753,2.619641471036206e-09,2.619641471036206e-09
Gene_030,2.375349495372238e-10,0.9323972715037236,24.0,19,4.589139480220348,2.619641471036206e-09,2.619641471036206e-09
Gene_032,3.193703837202838e-10,0.9285169585178648,24.0,6,4.530513576430769,2.619641471036206e-09,2.619641471036206e-09
Gene_031,3.274551838795257e-10,0.9250843517272238,24.0,20,4.882440829023361,2.619641471036206e-09,2.619641471036206e-09
Gene_023,2.6647243685750817e-11,0.9854006762498305,24.0,15,4.9037889747105705,2.619641471036206e-09,2.619641471036206e-09
Gene_024,1.6751704753888996e-10,0.9431970685339576,24.0,6,4.143245055105682,2.619641471036206e-09,2.619641471036206e-09
Gene_020,1.1775286060222236e-10,0.9540905457413051,24.0,14,3.807218945879636,2.619641471036206e-09,2.619641471036206e-09
